date,seeds,seed_values,winners,winner_values,sum_min,sum_max,td_min,td_max,hot_sum_td_cands,hot_sum_td_hits,hot_sum_td_of,cold_sum_td_cands,cold_sum_td_hits,cold_sum_td_of,hot_all_cands,hot_all_hits,hot_all_of,cold_all_cands,cold_all_hits,cold_all_of,hot_sum_cold_2dp_cands,hot_sum_cold_2dp_hits,hot_sum_cold_2dp_of,all_digits_hot_sum_td_cands,all_digits_hot_sum_td_hits,all_digits_hot_sum_td_of
2026-01-01,10,2305|6571|7072|2237|0981,4568|1135,5846|1135,1,19,9,54,296,1,2,61,0,2,92,1,2,4,0,2,64,0,2,454,1,2
2026-01-02,10,5846|1135|2305|6571|7072,1348|5559,3418|5559,10,23,20,54,442,1,2,191,1,2,114,1,2,19,0,2,124,1,2,442,1,2
2026-01-03,10,3418|5559|5846|1135|2305,3567|1349,5673|9431,10,24,9,52,549,1,2,95,0,2,125,0,2,6,0,2,128,0,2,549,1,2
2026-01-04,10,5673|9431|3418|5559|5846,0189|4559,9018|9455,10,24,9,61,572,2,2,95,0,2,134,0,2,6,0,2,133,1,2,572,2,2
2026-01-05,10,9018|9455|5673|9431|3418,2447|1458,4247|8541,10,24,9,61,572,2,2,95,0,2,134,0,2,4,0,2,109,0,2,572,2,2
2026-01-06,10,4247|8541|9018|9455|5673,3477|7889,7437|7889,10,24,9,61,572,1,2,95,0,2,135,0,2,5,0,2,125,0,2,572,1,2
2026-01-07,10,7437|7889|4247|8541|9018,0245|0567,4052|7065,16,32,9,61,496,1,2,87,0,2,100,0,2,24,0,2,153,0,2,496,1,2
2026-01-08,10,4052|7065|7437|7889|4247,0037|1245,0370|2514,11,32,20,61,501,2,2,206,0,2,115,1,2,20,0,2,147,1,2,501,2,2
2026-01-09,10,0370|2514|4052|7065|7437,1146|3689,6411|8963,10,32,20,60,509,2,2,209,0,2,132,0,2,21,0,2,144,0,2,509,2,2
2026-01-10,10,6411|8963|0370|2514|4052,5889|1799,5988|1979,10,32,20,60,509,2,2,209,0,2,114,0,2,23,0,2,144,1,2,509,2,2
2026-01-11,10,5988|1979|6411|8963|0370,0137|2578,3017|5782,10,32,20,60,509,2,2,209,0,2,110,0,2,22,0,2,145,1,2,509,2,2
